word,length,,,,,
perceiving,5,10255,10299,10249,10279,10267
conceiving,4,10258,10249,10279,10267,
deceiving,4,10265,10249,10279,10267,
declaring,4,10265,10249,10247,10267,
ourselves,4,10291,10263,10279,10254,
perceive,4,10255,10299,10249,10279,
receiving,4,10263,10249,10279,10267,
rejoicing,4,10263,10266,10249,10267,
themselves,4,10286,10253,10279,10254,
yourselves,4,10301,10263,10279,10254,
conceive,3,10258,10249,10279,,
deceive,3,10265,10249,10279,,
declare,3,10265,10249,10247,,
great,3,10267,10263,10270,,
herself,3,10259,10299,10251,,
himself,3,10259,10253,10251,,
immediate,3,10250,10253,10253,,
myself,3,10253,10301,10251,,
necessary,3,10269,10257,10249,,
neither,3,10269,10257,10250,,
o'clock,3,10261,10244,10249,,
oneself,3,10256,10261,10251,,
perhaps,3,10255,10299,10259,,
receive,3,10263,10249,10279,,
rejoice,3,10263,10266,10249,,
thyself,3,10297,10301,10251,,
together,3,10270,10267,10263,,
yourself,3,10301,10263,10251,,
about,2,10241,10243,,,
according,2,10241,10249,,,
after,2,10241,10251,,,
again,2,10241,10267,,,
also,2,10241,10247,,,
because,2,10246,10249,,,
before,2,10246,10251,,,
behind,2,10246,10259,,,
below,2,10246,10247,,,
beneath,2,10246,10269,,,
beside,2,10246,10254,,,
between,2,10246,10270,,,
beyond,2,10246,10301,,,
blind,2,10243,10247,,,
children,2,10273,10269,,,
could,2,10249,10265,,,
either,2,10257,10250,,,
first,2,10251,10252,,,
friend,2,10251,10263,,,
good,2,10267,10265,,,
him,2,10259,10253,,,
letter,2,10247,10263,,,
little,2,10247,10247,,,
much,2,10253,10273,,,
must,2,10253,10252,,,
paid,2,10255,10265,,,
quick,2,10271,10245,,,
said,2,10254,10265,,,
should,2,10281,10265,,,
such,2,10254,10273,,,
today,2,10270,10265,,,
tomorrow,2,10270,10253,,,
tonight,2,10270,10269,,,
would,2,10298,10265,,,
itself,2,10285,10251,,,
its,2,10285,10254,,,
your,2,10301,10263,,,
character,2,10256,10273,,,
day,2,10256,10265,,,
ever,2,10256,10257,,,
mother,2,10256,10253,,,
father,2,10256,10251,,,
here,2,10256,10259,,,
know,2,10256,10245,,,
lord,2,10256,10247,,,
name,2,10256,10269,,,
one,2,10256,10261,,,
ought,2,10256,10291,,,
part,2,10256,10255,,,
question,2,10256,10271,,,
right,2,10256,10263,,,
some,2,10256,10254,,,
there,2,10256,10286,,,
through,2,10256,10297,,,
time,2,10256,10270,,,
under,2,10256,10277,,,
where,2,10256,10289,,,
work,2,10256,10298,,,
young,2,10256,10301,,,
these,2,10264,10286,,,
those,2,10264,10297,,,
upon,2,10264,10277,,,
whose,2,10264,10289,,,
word,2,10264,10298,,,
cannot,2,10296,10249,,,
had,2,10296,10259,,,
many,2,10296,10253,,,
spirit,2,10296,10254,,,
their,2,10296,10286,,,
world,2,10296,10298,,,
and,1,10287,,,,
for,1,10303,,,,
of,1,10295,,,,
the,1,10286,,,,
with,1,10302,,,,
ed,1,10283,,,,
er,1,10299,,,,
ow,1,10282,,,,
ea,1,10242,,,,
by,1,10292,,,,
com,1,10276,,,,
ing,1,10284,,,,